uuid,url,title,brand,images,date_stored,selling_price,star_rating,size,colour,mrp,product_detials,set_product_price,meta_data,category,product_code,competitor
0,https://trends.ajio.com/dnmx-knitted-crew-neck-pullover/p/441125578_green,Knitted Crew-Neck Pullover,DNMX,"https://assets.ajio.com/medias/sys_master/root/20210824/BzP7/612406b17cdb8cb824030b0f/-473Wx593H-441125578-green-MODEL.jpg,https://assets.ajio.com/medias/sys_master/root/20210824/Nrgh/6123f8ab7cdb8cb8240296f7/-473Wx593H-441125578-green-MODEL2.jpg,https://assets.ajio.com/medias/sys_master/root/20210824/39Cy/6124098caeb269a2687b09f0/-473Wx593H-441125578-green-MODEL3.jpg",07-06-2022,624,0.0,,"green,mustard",1299,"Machine washable; Flat dry,Ribbed hems,Regular Fit,Machine wash,100% Cotton,Product Code: 441125578006,About DNMX",0.0,Buy Green Sweaters & Cardigans for Men by DNMX Online in India at Rs. 624. Shop for more DNMX Sweaters & Cardiganss at Ajio.com and avail great discounts,Sweaters & Cardigans,4.41E+11,Ajio-Trends
00000fcc-8f4d-4174-9e34-8179d398a88d,https://ajiobusiness.com/storefront/ProductDetails/464883623,Brasso Printed Regular Saree,JUSTVVV,~^https://assets.ajio.com/b2b/medias/sys_master/root/hbb/h46/52568994086942/17bddc03-f0d7-4e90-9092-6ea93249f2a7-1080Wx1353H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/haa/h66/52568763990046/17bddc03-f0d7-4e90-9092-6ea93249f2a7-777Wx973H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/hd9/h6d/52568761958430/17bddc03-f0d7-4e90-9092-6ea93249f2a7-239Wx300H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/hfe/hae/52568996184094/975b7fa8-3213-443c-a8c3-9cdeedf0f917-1080Wx1353H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/h71/h43/52568995528734/975b7fa8-3213-443c-a8c3-9cdeedf0f917-777Wx973H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/haa/hab/52568994742302/975b7fa8-3213-443c-a8c3-9cdeedf0f917-239Wx300H.jpg,28-09-2022,576,0.0,,,1499,"{""Length of Saree(UOM)"":""mtr"",""Packaging Type"":""Box"",""Product Name"":""Regular Saree"",""Saree Length"":""6.3"",""With Blouse"":""With Blouse"",""Occasion Type"":""Daily""}",3459.16,,Sarees,464883623,Ajio_b
00009f57-a987-4416-88b8-2fe607d6f0de,https://trends.ajio.com/hunters-bay-lace-up-casual-shoes-with-contrast-panels/p/458005708_tan,Lace-Up Casual Shoes with Contrast Panels,HUNTERS BAY,"https://assets.ajio.com/medias/sys_master/root/20210714/cJUI/60ede55cf997ddb312264121/-473Wx593H-458005708-tan-MODEL.jpg,https://assets.ajio.com/medias/sys_master/root/20210714/YKUc/60ede3f7f997ddb312263b17/-473Wx593H-458005708-tan-MODEL2.jpg,https://assets.ajio.com/medias/sys_master/root/20210714/2hWg/60eddecfaeb269a9e34238a2/-473Wx593H-458005708-tan-MODEL3.jpg",16-07-2022,909,0.0,,tan,1299,Product Code: 458005708001,0.0,Buy Brown Casual Shoes for Men by HUNTERS BAY Online in India at Rs. 909. Shop for more HUNTERS BAY Casual Shoess at Ajio.com and avail great discounts,Casual Shoes,,Ajio-Trends
0000cb86-fd3b-43e9-b0c1-355339650d8b,https://ajiobusiness.com/storefront/ProductDetails/464902247,Art Silk Printed Regular Saree,VOOLKA,~^https://assets.ajio.com/b2b/medias/sys_master/root/h81/h02/52674243330078/12daa71d-181a-4fee-a0d2-a4b092178abd-1080Wx1353H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/h7f/h9b/52674240348190/12daa71d-181a-4fee-a0d2-a4b092178abd-777Wx973H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/h7d/heb/52674238939166/12daa71d-181a-4fee-a0d2-a4b092178abd-239Wx300H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/hfb/h43/52674573500446/068a42a3-8450-429b-a8c7-3c7aa6b7daf2-1080Wx1353H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/hf0/h0a/52674572976158/068a42a3-8450-429b-a8c7-3c7aa6b7daf2-777Wx973H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/h3e/h57/52674243854366/068a42a3-8450-429b-a8c7-3c7aa6b7daf2-239Wx300H.jpg,28-09-2022,285,0.0,,,560,"{""Length of Saree(UOM)"":""mtr"",""Packaging Type"":""Polyethene"",""Product Name"":""Regular Saree"",""Saree Length"":""5.5"",""With Blouse"":""With Blouse"",""Occasion Type"":""Festive""}",571.42,,Sarees,464902247,Ajio_b
00018050-b693-408b-a594-adc6e7b53946,https://www.bijnis.com/product/KAYRISE/1071022,Kangarooz 232,Kangarooz,"https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/seller-board/PRODUCTION/1479644593/17-08-2020/5f3a1859c177d.jpg,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/seller-board/PRODUCTION/1479644593/17-08-2020/5f3a1859c198e.JPG,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/seller-board/PRODUCTION/1479644593/17-08-2020/5f3a1859c1803.JPG,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/seller-board/PRODUCTION/1479644593/17-08-2020/5f3a1859c190a.JPG,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/seller-board/PRODUCTION/1479644593/17-08-2020/5f3a1859c1887.JPG",24-07-2022,130,0.0,"7/3, 8/3, 9/3, 10/3",,499,"{""Category"":""Men PVC Slippers"",""Color"":""Multicolor"",""Sole"":""Air Mix"",""Upper Material"":""Rubber"",""Material"":""Synthetic"",""Packaging Type"":""No Box"",""Made in"":""India""}",0.0,"{""moq"":""12 Pairs"",""achievements"":[""38 Likes""],""retail"":""71%"",""sold_by"":""Samayra Footwear"",""gst"":"" ?15.60 (12.00% GST Benefit)"",""gst_selling_price"":""?145.6""}",men_Slippers,1071022,bijnis
00026818-2a6f-4163-8b35-8b29509fbbaa,https://www.bijnis.com/product/Camro/1882018,Camro 1362,Camro,"https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/1490392072/uploadfile_1-1dd42d3d-2a1c-4b71-a675-7d77fc564e88.jpeg,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/1490392072/uploadfile_2-8530a14e-53a7-4e5d-8bd3-129c8f348f43.jpeg,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/1490392072/uploadfile_3-458236e4-c256-4f0f-badf-48fbf76d3f7b.jpeg,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/1490392072/uploadfile_4-24f4a6fd-ec9c-44c5-ada4-8a6e04bac26b.jpeg,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/1490392072/uploadfile_5-f0702abe-785c-4dc8-ae43-5f856a97e651.jpeg",24-07-2022,139,0.0,"6/1, 7/1, 8/1, 9/1,7/1, 8/1, 9/1, 10/1",,298,"{""Category"":""Men PVC Slippers"",""Color"":""Black, Red, Yellow, Orange, Dark Grey"",""Sole"":""PVC- (1st Grade)"",""Upper Material"":""Mesh"",""Packaging Type"":""Branded Box"",""Upper Material Grade"":""1st Grade"",""Made in"":""India""}",0.0,"{""moq"":""4 Pairs"",""achievements"":[""43% Repeat Order"",""16 Likes""],""retail"":""48%"",""sold_by"":""MAHADEV ENTERPRISES"",""gst"":"" ?16.68 (12.00% GST Benefit)"",""gst_selling_price"":""?155.68""}",men_Slippers,1882018,bijnis
00028d08-dac9-4e8f-ac64-be41380fb358,https://ajiobusiness.com/storefront/ProductDetails/420394720,Art Silk Printed Regular Saree,RITUJA,~^https://assets.ajio.com/b2b/medias/sys_master/root/h5b/h4c/46181501960222/fc4285fe-16c1-4389-a3fd-ac9bca3c29ee-1080Wx1353H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/hf2/h94/46181501501470/fc4285fe-16c1-4389-a3fd-ac9bca3c29ee-777Wx973H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/h50/h82/46181497634846/fc4285fe-16c1-4389-a3fd-ac9bca3c29ee-239Wx300H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/hd3/hd8/46181503008798/4f5b83fd-0fbe-4ab2-bf77-bc3fe54e7612-1080Wx1353H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/hb3/h70/46181502681118/4f5b83fd-0fbe-4ab2-bf77-bc3fe54e7612-777Wx973H.jpg~^https://assets.ajio.com/b2b/medias/sys_master/root/h9a/h70/46181502222366/4f5b83fd-0fbe-4ab2-bf77-bc3fe54e7612-239Wx300H.jpg,27-09-2022,545,0.0,,,699,"{""Length of Saree(UOM)"":""mtr"",""Packaging Type"":""Polyethene"",""Product Name"":""Regular Saree"",""Accent"":""Floral Print"",""Saree Length"":""6"",""With Blouse"":""With Blouse"",""Occasion Type"":""Daily""}",4365.84,,Sarees,420394720,Ajio_b
0002b349-6e86-4ac6-bf4b-f4a1c5e47271,https://www.bijnis.com/product/Humsafar Footwear/1902598,HRG 11,HRG,"https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/uploadfile_1-0f4380ea-d45f-4fa9-942a-94c6ebd3c389.jpeg,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/uploadfile_2-081de0a4-b818-4069-b1bb-f2d76c4fc024.jpeg,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/uploadfile_3-0b94bd43-9f21-4b47-bda9-1b1468c558a9.jpeg",25-07-2022,208,0.0,"5/1, 6/1, 7/1, 8/1",,379,"{""Category"":""Women Hawai Slippers"",""Color"":""Black, Brown, Light Red, Tan, Blue"",""Sole"":""Rubber"",""Upper Material"":""Rexine"",""Packaging Type"":""Branded Box"",""Lining"":""EVA"",""Insock"":""Synthetic Rubber Sheet"",""Heel"":""Rubber Heel"",""Material"":""Synthetic"",""Made in"":""India""}",0.0,"{""moq"":""4 Pairs"",""achievements"":[],""retail"":""39%"",""sold_by"":""Sanjoy footwear"",""gst"":"" ?24.96 (12.00% GST Benefit)"",""gst_selling_price"":""?232.96""}",women_Slippers,1902598,bijnis
0002e07d-5854-4f4e-9b8d-c4354159f289,https://www.bijnis.com/product/Mark/1753189,Mega Steps 163,Mega,"https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/uploadfile_1-1616325501,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/uploadfile_2-1616325501,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/uploadfile_3-1616325501,https://ik.imagekit.io/shoekonnect/tr:w-500,tr:h-auto,pr-true/PRODUCTION/uploads/uploadfile_4-1616325501",25-07-2022,215,0.0,"4/1, 5/2, 6/2, 7/1, 8/1, 9/1",,499,"{""Category"":""Women Rubber/TPR Sandals"",""Color"":""Maroon"",""Sole"":""TPR"",""Upper Material"":""Patent Leather"",""Packaging Type"":""Branded Box"",""Made in"":""India""}",0.0,"{""moq"":""8 Pairs"",""achievements"":[""22 Likes""],""retail"":""52%"",""sold_by"":""MEGA STEPS"",""gst"":"" ?25.80 (12.00% GST Benefit)"",""gst_selling_price"":""?240.8""}",women_Sandals,1753189,bijnis
00034b4a-b1ab-435c-8158-914944fef2c8,https://www.ajio.com/kalamandir--floral-print-georgette-saree/p/464372733_magenta,Floral Print Georgette Saree,KALAMANDIR,https://assets.ajio.com/medias/sys_master/root/20220524/3jvT/628bfa2df997dd03e218cd26/-473Wx593H-464372733-magenta-MODEL.jpg~^https://assets.ajio.com/medias/sys_master/root/20220524/h3Ii/628bfa2df997dd03e218cca1/-473Wx593H-464372733-magenta-MODEL2.jpg~^https://assets.ajio.com/medias/sys_master/root/20220524/wIjR/628bfa2df997dd03e218ccb0/-473Wx593H-464372733-magenta-MODEL3.jpg,13-08-2022,480,0.0,FS,magenta,1199,"Blouse piece length: 0.8 m,Saree length: 5.5 m,Package contains: 1 saree, 1 blouse piece,The last image gives a detailed look of the blouse piece that comes with this saree (The blouse in the images is only for styling purpose),Dry clean,Georgette,Product Code: 464372733001",0.0,"{""MRP"":""Rs. 1,199.00 inclusive of all taxes(MRP changes as per size selection) (MRP changes as per size selection)"",""Net Qty"":""1 N "",""Marketed By"":""Sai Silks Kalamandir Limited H.No.8-268, Survey No.126, Kismarpur Village, Rajendra Nagar Mandal, Hyderabad, Ranga Reddy, Telangana, 500030 "",""Manufactured By"":""Sai Silks Kalamandir Limited H.No.8-268, Survey No.126, Kismarpur Village, Rajendra Nagar Mandal, Hyderabad, Ranga Reddy, Telangana, 500030 "",""Country Of Origin"":""India "",""Customer Care Address"":""AJIO, c/o Reliance Retail Limited, SS Plaza, 74/2 Outer Ring Road, 29th Main Road, BTM 1st Stage, BTM Layout, Bangalore 560068, Karnataka, INDIA. Ph. 1800-889-9991. E-mail - customercare@ajio.com "",""Commodity"":""Women's Sarees ""}",Sarees,464372733_magenta,Ajio
